[14:14:52.307] tio v2.7
[14:14:52.307] Press ctrl-t q to quit
[14:14:52.307] Connected
[14:14:56.404] Disconnected
[14:14:57.405] Connected
Starting the tinyML hello world demo
x_value: 3.392920, y_value: -0.254161
x_value: 3.399203, y_value: -0.254161
x_value: 3.405487, y_value: -0.254161
x_value: 3.411770, y_value: -0.254161
x_value: 3.418053, y_value: -0.237217
x_value: 3.424336, y_value: -0.237217
x_value: 3.430619, y_value: -0.237217
x_value: 3.436902, y_value: -0.237217
x_value: 3.443186, y_value: -0.304993
x_value: 3.449469, y_value: -0.304993
x_value: 3.455752, y_value: -0.304993
x_value: 3.462035, y_value: -0.304993
x_value: 3.468318, y_value: -0.321937
x_value: 3.474602, y_value: -0.321937
x_value: 3.480885, y_value: -0.321937
x_value: 3.487168, y_value: -0.321937
x_value: 3.493451, y_value: -0.313465
x_value: 3.499734, y_value: -0.313465
x_value: 3.506018, y_value: -0.313465
x_value: 3.512301, y_value: -0.313465
x_value: 3.518584, y_value: -0.372770
x_value: 3.524867, y_value: -0.372770
x_value: 3.531150, y_value: -0.372770
x_value: 3.537434, y_value: -0.372770
x_value: 3.543717, y_value: -0.372770
x_value: 3.550000, y_value: -0.372770
x_value: 3.556283, y_value: -0.372770
x_value: 3.562566, y_value: -0.372770
x_value: 3.568850, y_value: -0.372770
x_value: 3.575133, y_value: -0.372770
x_value: 3.581416, y_value: -0.372770
x_value: 3.587699, y_value: -0.372770
x_value: 3.593982, y_value: -0.440546
x_value: 3.600265, y_value: -0.440546
x_value: 3.606549, y_value: -0.440546
x_value: 3.612832, y_value: -0.423602
x_value: 3.619115, y_value: -0.423602
x_value: 3.625398, y_value: -0.423602
x_value: 3.631681, y_value: -0.423602
x_value: 3.637964, y_value: -0.499850
x_value: 3.644248, y_value: -0.499850
x_value: 3.650531, y_value: -0.499850
x_value: 3.656814, y_value: -0.499850
x_value: 3.663097, y_value: -0.491378
x_value: 3.669380, y_value: -0.491378
x_value: 3.675663, y_value: -0.491378
x_value: 3.681947, y_value: -0.491378
x_value: 3.688230, y_value: -0.474434
x_value: 3.694513, y_value: -0.474434
x_value: 3.700796, y_value: -0.474434
x_value: 3.707079, y_value: -0.474434
x_value: 3.713363, y_value: -0.542210
x_value: 3.719646, y_value: -0.542210
x_value: 3.725929, y_value: -0.542210
x_value: 3.732212, y_value: -0.542210
x_value: 3.738496, y_value: -0.542210
x_value: 3.744779, y_value: -0.542210
x_value: 3.751062, y_value: -0.542210
x_value: 3.757345, y_value: -0.542210
x_value: 3.763628, y_value: -0.533738
x_value: 3.769912, y_value: -0.533738
x_value: 3.776195, y_value: -0.533738
x_value: 3.782478, y_value: -0.533738
x_value: 3.788761, y_value: -0.609986
x_value: 3.795044, y_value: -0.609986
x_value: 3.801327, y_value: -0.609986
x_value: 3.807611, y_value: -0.609986
x_value: 3.813894, y_value: -0.609986
x_value: 3.820177, y_value: -0.609986
x_value: 3.826460, y_value: -0.609986
x_value: 3.832743, y_value: -0.609986
x_value: 3.839026, y_value: -0.660819
x_value: 3.845309, y_value: -0.660819
x_value: 3.851593, y_value: -0.660819
x_value: 3.857876, y_value: -0.660819
x_value: 3.864159, y_value: -0.643875
x_value: 3.870442, y_value: -0.643875
x_value: 3.876725, y_value: -0.643875
x_value: 3.883008, y_value: -0.652347
x_value: 3.889292, y_value: -0.652347
x_value: 3.895575, y_value: -0.652347
x_value: 3.901858, y_value: -0.652347
x_value: 3.908141, y_value: -0.711651
x_value: 3.914425, y_value: -0.711651
x_value: 3.920708, y_value: -0.711651
x_value: 3.926991, y_value: -0.711651
x_value: 3.933274, y_value: -0.720123
x_value: 3.939557, y_value: -0.720123
x_value: 3.945841, y_value: -0.720123
x_value: 3.952124, y_value: -0.720123
x_value: 3.958407, y_value: -0.703179
x_value: 3.964690, y_value: -0.703179
x_value: 3.970973, y_value: -0.703179
x_value: 3.977257, y_value: -0.703179
x_value: 3.983540, y_value: -0.787899
x_value: 3.989823, y_value: -0.787899
x_value: 3.996106, y_value: -0.787899
x_value: 4.002389, y_value: -0.787899
x_value: 4.008672, y_value: -0.762483
x_value: 4.014956, y_value: -0.762483
x_value: 4.021239, y_value: -0.762483
x_value: 4.027522, y_value: -0.762483
x_value: 4.033805, y_value: -0.838731
x_value: 4.040088, y_value: -0.838731
x_value: 4.046371, y_value: -0.838731
x_value: 4.052655, y_value: -0.838731
x_value: 4.058938, y_value: -0.779427
x_value: 4.065221, y_value: -0.779427
x_value: 4.071504, y_value: -0.779427
x_value: 4.077787, y_value: -0.779427
x_value: 4.084070, y_value: -0.779427
x_value: 4.090354, y_value: -0.779427
x_value: 4.096637, y_value: -0.779427
x_value: 4.102920, y_value: -0.779427
x_value: 4.109203, y_value: -0.847203
x_value: 4.115486, y_value: -0.847203
x_value: 4.121770, y_value: -0.847203
x_value: 4.128053, y_value: -0.847203
x_value: 4.134336, y_value: -0.838731
x_value: 4.140619, y_value: -0.838731
x_value: 4.146903, y_value: -0.838731
x_value: 4.153186, y_value: -0.779427
x_value: 4.159469, y_value: -0.779427
x_value: 4.165752, y_value: -0.779427
x_value: 4.172035, y_value: -0.779427
x_value: 4.178319, y_value: -0.838731
x_value: 4.184602, y_value: -0.838731
x_value: 4.190885, y_value: -0.838731
x_value: 4.197168, y_value: -0.838731
x_value: 4.203451, y_value: -0.838731
x_value: 4.209734, y_value: -0.838731
x_value: 4.216017, y_value: -0.838731
