interpreter_make_new: model size = 2488, tensor area = 2064
time step,y
4.109204,-0.847201
4.115486,-0.847201
4.121770,-0.847201
4.128052,-0.847201
4.134336,-0.838729
4.140619,-0.838729
4.146902,-0.838729
4.153186,-0.787897
4.159468,-0.787897
4.165752,-0.787897
4.172035,-0.787897
4.178318,-0.838729
4.184602,-0.838729
4.190884,-0.838729
4.197168,-0.838729
4.203451,-0.838729
4.209734,-0.838729
4.216018,-0.838729
4.222301,-0.838729
4.228584,-0.914977
4.234867,-0.914977
4.241150,-0.914977
4.247434,-0.914977
4.253717,-0.906505
4.260000,-0.906505
4.266282,-0.906505
4.272566,-0.906505
4.278849,-0.847201
4.285132,-0.847201
4.291416,-0.847201
4.297698,-0.847201
4.303982,-0.923449
4.310265,-0.923449
4.316548,-0.923449
4.322832,-0.923449
4.329115,-0.914977
4.335398,-0.914977
4.341681,-0.914977
4.347964,-0.914977
4.354248,-0.898033
4.360531,-0.898033
4.366814,-0.898033
4.373097,-0.898033
4.379380,-0.965809
4.385664,-0.965809
4.391947,-0.965809
4.398230,-0.965809
4.404514,-0.923449
4.410796,-0.923449
4.417080,-0.923449
4.423363,-0.991225
4.429646,-0.991225
4.435929,-0.991225
4.442212,-0.991225
4.448495,-0.991225
4.454778,-0.991225
4.461062,-0.991225
4.467345,-0.991225
4.473628,-0.974281
4.479912,-0.974281
4.486194,-0.974281
4.492478,-0.974281
4.498760,-1.016641
4.505044,-1.016641
4.511327,-1.016641
4.517610,-1.016641
4.523894,-0.982753
4.530176,-0.982753
4.536460,-0.982753
4.542743,-0.982753
4.549026,-0.982753
4.555310,-0.982753
4.561592,-0.982753
4.567876,-0.982753
4.574159,-1.050529
4.580442,-1.050529
4.586726,-1.050529
4.593009,-1.050529
4.599292,-1.050529
4.605575,-1.050529
4.611858,-1.050529
4.618141,-1.050529
4.624424,-1.067473
4.630708,-1.067473
4.636990,-1.067473
4.643274,-1.067473
4.649557,-1.059001
4.655840,-1.059001
4.662124,-1.059001
4.668407,-1.059001
4.674690,-1.067473
4.680973,-1.067473
4.687256,-1.067473
4.693540,-1.067473
4.699823,-1.109833
4.706106,-1.109833
4.712389,-1.109833
4.718672,-1.118305
4.724956,-1.118305
4.731239,-1.118305
4.737522,-1.118305
4.743806,-1.067473
4.750088,-1.067473
4.756372,-1.067473
4.762655,-1.067473
4.768938,-1.118305
4.775222,-1.118305
4.781504,-1.118305
4.787787,-1.118305
4.794070,-1.118305
4.800354,-1.118305
4.806637,-1.118305
4.812920,-1.118305
4.819203,-1.118305
4.825486,-1.118305
4.831770,-1.118305
4.838053,-1.118305
4.844336,-1.075945
4.850620,-1.075945
4.856902,-1.075945
4.863186,-1.075945
4.869468,-1.050529
4.875752,-1.050529
4.882035,-1.050529
4.888318,-1.050529
4.894602,-1.042057
4.900884,-1.042057
4.907168,-1.042057
4.913451,-1.042057
4.919734,-1.050529
4.926018,-1.050529
4.932300,-1.050529
4.938584,-1.050529
4.944867,-1.042057
4.951150,-1.042057
4.957433,-1.042057
4.963716,-1.042057
4.970000,-0.991225
4.976282,-0.991225
4.982566,-0.991225
4.988849,-0.991225
4.995132,-0.991225
5.001416,-0.991225
5.007698,-0.991225
5.013982,-0.982753
5.020265,-0.982753
5.026548,-0.982753
5.032832,-0.982753
5.039115,-0.965809
5.045398,-0.965809
5.051681,-0.965809
5.057964,-0.965809
5.064248,-0.957337
5.070531,-0.957337
5.076814,-0.957337
5.083097,-0.957337
5.089380,-0.906505
5.095664,-0.906505
5.101947,-0.906505
5.108230,-0.906505
5.114514,-0.906505
